model,stage,cv_f1,cv_auc,delta_f1_vs_before,delta_auc_vs_before
LogReg,before (default),0.9825442464894886,0.9958720330237357,0.0,0.0
LogReg,after tuned (full),0.9878255609037587,0.995252837977296,0.005281314414270155,-0.0006191950464397022
LogReg,after tuned (selected),0.982485315330225,0.9958720330237358,-5.893115926358661e-05,1.1102230246251565e-16
SVM(RBF),before (default),0.9756153066291582,0.9955624355005159,0.0,0.0
SVM(RBF),after tuned (full),0.9810153888265501,0.9964912280701753,0.005400082197391964,0.0009287925696593868
SVM(RBF),after tuned (selected),0.9826668447152942,0.9943240454076369,0.007051538086136011,-0.0012383900928790714
RandomForest,before (default),0.9699350059969529,0.9895768833849328,0.0,0.0
RandomForest,after tuned (full),0.9701813114156721,0.9904024767801858,0.00024630541871917266,0.0008255933952530103
RandomForest,after tuned (selected),0.9772347819855971,0.9932920536635705,0.007299775988644175,0.0037151702786377694
